truth,pred,pred_sir,fecha
45.0,40.50597796731184,48.975010158507814,2021-02-08
45.0,43.00492768488103,42.17307842569948,2021-02-08
236.0,0.0,0.0,2021-02-09
0.0,0.0,0.0,2021-02-10
0.0,0.0,0.0,2021-02-11
0.0,0.0,0.0,2021-02-12
0.0,0.0,2.0,2021-02-13
0.0,45.0,46.0,2021-02-14
388.0,228.0,222.0,2021-02-15
316.0,0.0,0.0,2021-02-16
117.0,0.0,0.0,2021-02-17
431.0,0.0,0.0,2021-02-18
115.0,0.0,0.0,2021-02-19
257.0,0.0,0.0,2021-02-20
170.0,388.0,42.0,2021-02-21
354.0,339.0,312.0,2021-02-22
354.0,256.0,312.0,2021-02-22
