truth,pred,pred_sir,fecha
132.0,134.4537828331228,134.9680265761538,2021-08-23
132.0,124.94068956486703,131.71555318180876,2021-08-23
0.0,201.0,61.0,2021-08-24
323.0,65.0,105.0,2021-08-25
349.0,200.0,136.0,2021-08-26
357.0,27.0,88.0,2021-08-27
387.0,257.0,170.0,2021-08-28
388.0,0.0,31.0,2021-08-29
122.0,0.0,0.0,2021-08-30
0.0,323.0,0.0,2021-08-31
416.0,66.0,0.0,2021-09-01
647.0,300.0,45.0,2021-09-02
555.0,137.0,16.0,2021-09-03
490.0,276.0,114.0,2021-09-04
618.0,0.0,0.0,2021-09-05
193.0,0.0,0.0,2021-09-06
193.0,0.0,0.0,2021-09-06
