truth,pred,pred_sir,fecha
373.0,396.9292272043181,403.49974139359034,2021-08-23
373.0,396.5380768801353,347.5923189732921,2021-08-23
1883.0,0.0,884.0,2021-08-24
1880.0,1347.0,807.0,2021-08-25
1556.0,0.0,697.0,2021-08-26
1691.0,1324.0,670.0,2021-08-27
1675.0,0.0,184.0,2021-08-28
972.0,373.0,0.0,2021-08-29
434.0,1260.0,0.0,2021-08-30
2076.0,0.0,276.0,2021-08-31
2020.0,1556.0,278.0,2021-09-01
1704.0,0.0,245.0,2021-09-02
1571.0,1675.0,291.0,2021-09-03
1641.0,0.0,0.0,2021-09-04
852.0,434.0,0.0,2021-09-05
479.0,1364.0,0.0,2021-09-06
479.0,473.0,0.0,2021-09-06
