truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-04-05
0.0,0.0,0.0,2021-04-05
0.0,16340.0,2471.0,2021-04-06
0.0,0.0,2471.0,2021-04-06
21695.0,8316.0,6801.0,2021-04-07
21695.0,0.0,6801.0,2021-04-07
6656.0,8181.0,0.0,2021-04-08
6656.0,0.0,0.0,2021-04-08
7651.0,0.0,0.0,2021-04-09
7651.0,0.0,0.0,2021-04-09
7562.0,0.0,0.0,2021-04-10
7562.0,0.0,0.0,2021-04-10
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-12
0.0,0.0,0.0,2021-04-12
0.0,21695.0,12211.0,2021-04-13
18937.0,0.0,4292.0,2021-04-14
8638.0,7651.0,4140.0,2021-04-15
6890.0,0.0,0.0,2021-04-16
7458.0,0.0,0.0,2021-04-17
0.0,0.0,0.0,2021-04-18
27.0,28.067733369638784,29.54002677032097,2021-04-19
27.0,25.246487805640687,25.3906187134907,2021-04-19
0.0,18937.0,9568.0,2021-04-20
0.0,0.0,9568.0,2021-04-20
16661.0,8638.0,1908.0,2021-04-21
16661.0,0.0,1908.0,2021-04-21
7344.0,6890.0,2035.0,2021-04-22
7344.0,0.0,2035.0,2021-04-22
7514.0,7458.0,0.0,2021-04-23
7514.0,0.0,0.0,2021-04-23
6014.0,0.0,0.0,2021-04-24
6014.0,0.0,0.0,2021-04-24
0.0,27.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
