truth,pred,pred_sir,fecha
27.0,28.04610602883003,28.507431192434538,2021-04-19
27.0,26.948964895887237,27.59230691179446,2021-04-19
0.0,18937.0,9568.0,2021-04-20
0.0,0.0,9568.0,2021-04-20
16661.0,8638.0,1908.0,2021-04-21
16661.0,0.0,1908.0,2021-04-21
7344.0,6890.0,2035.0,2021-04-22
7344.0,0.0,2035.0,2021-04-22
7514.0,7458.0,0.0,2021-04-23
7514.0,0.0,0.0,2021-04-23
6014.0,0.0,0.0,2021-04-24
6014.0,0.0,0.0,2021-04-24
0.0,27.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
0.0,16661.0,7187.0,2021-04-27
14633.0,0.0,0.0,2021-04-28
6952.0,7514.0,0.0,2021-04-29
6820.0,0.0,0.0,2021-04-30
5572.0,0.0,0.0,2021-05-01
0.0,0.0,0.0,2021-05-02
0.0,0.0,0.0,2021-05-03
0.0,14633.0,4862.0,2021-05-04
14637.0,0.0,0.0,2021-05-05
6663.0,6820.0,0.0,2021-05-06
6123.0,0.0,0.0,2021-05-07
5230.0,0.0,0.0,2021-05-08
0.0,0.0,0.0,2021-05-09
0.0,0.0,0.0,2021-05-10
