truth,pred,pred_sir,fecha
2376.0,2458.214415598316,2519.422900026767,2021-04-05
2376.0,2226.4606993841153,2335.6675210960684,2021-04-05
544.0,1888.0,231.0,2021-04-06
544.0,888.0,231.0,2021-04-06
885.0,1879.0,1692.0,2021-04-07
885.0,1049.0,1692.0,2021-04-07
2228.0,1416.0,0.0,2021-04-08
2228.0,1027.0,0.0,2021-04-08
1677.0,1240.0,0.0,2021-04-09
1677.0,1093.0,0.0,2021-04-09
826.0,185.0,990.0,2021-04-10
826.0,1051.0,990.0,2021-04-10
1053.0,1400.0,1033.0,2021-04-11
1053.0,1141.0,1033.0,2021-04-11
807.0,0.0,0.0,2021-04-12
807.0,544.0,0.0,2021-04-12
0.0,424.0,740.0,2021-04-13
514.0,1874.0,1006.0,2021-04-14
747.0,0.0,845.0,2021-04-15
0.0,826.0,793.0,2021-04-16
0.0,311.0,0.0,2021-04-17
915.0,531.0,1096.0,2021-04-18
1033.0,1037.1288989243537,1023.0433299362537,2021-04-19
1033.0,1094.944863721558,1128.143927451454,2021-04-19
0.0,514.0,264.0,2021-04-20
0.0,0.0,264.0,2021-04-20
685.0,747.0,572.0,2021-04-21
685.0,0.0,572.0,2021-04-21
0.0,0.0,454.0,2021-04-22
0.0,0.0,454.0,2021-04-22
0.0,0.0,440.0,2021-04-23
0.0,0.0,440.0,2021-04-23
0.0,915.0,0.0,2021-04-24
0.0,0.0,0.0,2021-04-24
0.0,1033.0,727.0,2021-04-25
0.0,141.0,727.0,2021-04-25
0.0,0.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
