truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-08-23
0.0,0.0,0.0,2021-08-23
18747.0,0.0,6364.0,2021-08-24
5687.0,8231.0,9687.0,2021-08-25
11499.0,0.0,4112.0,2021-08-26
12559.0,9184.0,2870.0,2021-08-27
11964.0,0.0,0.0,2021-08-28
0.0,0.0,0.0,2021-08-29
0.0,18747.0,19903.0,2021-08-30
23231.0,0.0,0.0,2021-08-31
5696.0,11499.0,2055.0,2021-09-01
13481.0,0.0,0.0,2021-09-02
13663.0,11964.0,0.0,2021-09-03
14199.0,0.0,0.0,2021-09-04
0.0,0.0,0.0,2021-09-05
0.0,23231.0,14128.0,2021-09-06
0.0,0.0,14128.0,2021-09-06
