truth,pred,pred_sir,fecha
769.0,804.4830594458059,827.7085686569446,2021-04-19
769.0,734.000794522665,750.3989506167086,2021-04-19
826.0,0.0,0.0,2021-04-20
826.0,514.0,0.0,2021-04-20
799.0,0.0,0.0,2021-04-21
799.0,599.0,0.0,2021-04-21
921.0,0.0,290.0,2021-04-22
921.0,588.0,290.0,2021-04-22
818.0,0.0,0.0,2021-04-23
818.0,670.0,0.0,2021-04-23
895.0,0.0,289.0,2021-04-24
895.0,662.0,289.0,2021-04-24
856.0,166.0,665.0,2021-04-25
856.0,546.0,665.0,2021-04-25
876.0,334.0,0.0,2021-04-26
876.0,381.0,0.0,2021-04-26
753.0,459.0,360.0,2021-04-27
588.0,463.0,424.0,2021-04-28
738.0,358.0,386.0,2021-04-29
823.0,535.0,445.0,2021-04-30
646.0,321.0,414.0,2021-05-01
760.0,541.0,514.0,2021-05-02
422.0,191.0,0.0,2021-05-03
19.0,383.0,204.0,2021-05-04
441.0,330.0,271.0,2021-05-05
465.0,472.0,240.0,2021-05-06
521.0,148.0,304.0,2021-05-07
406.0,605.0,279.0,2021-05-08
271.0,0.0,386.0,2021-05-09
348.0,19.0,0.0,2021-05-10
