truth,pred,pred_sir,fecha
1323.0,1403.6708374874515,1454.8647004804668,2021-02-08
1323.0,1414.8976143331065,1300.365199109583,2021-02-08
1115.0,239.0,267.0,2021-02-09
1007.0,783.0,816.0,2021-02-10
1241.0,1410.0,1406.0,2021-02-11
1793.0,1359.0,1414.0,2021-02-12
1813.0,1345.0,1359.0,2021-02-13
1979.0,1227.0,1220.0,2021-02-14
1699.0,1026.0,579.0,2021-02-15
1317.0,932.0,117.0,2021-02-16
813.0,1173.0,647.0,2021-02-17
1494.0,1709.0,1227.0,2021-02-18
2780.0,1689.0,1220.0,2021-02-19
2972.0,1856.0,1159.0,2021-02-20
2853.0,1557.0,1016.0,2021-02-21
2809.0,1695.0,5281.0,2021-02-22
2809.0,1167.0,5281.0,2021-02-22
