truth,pred,pred_sir,fecha
1795.0,1660.4330352081222,1961.6513026251603,2021-11-01
1795.0,1895.8377812814604,1675.2105363253504,2021-11-01
773.0,2211.0,1901.0,2021-11-02
1877.0,3377.0,2845.0,2021-11-03
2703.0,3217.0,2312.0,2021-11-04
2327.0,3052.0,2030.0,2021-11-05
1803.0,3162.0,1972.0,2021-11-06
1879.0,2073.0,846.0,2021-11-07
1250.0,946.0,0.0,2021-11-08
414.0,1947.0,772.0,2021-11-09
1437.0,2841.0,1698.0,2021-11-10
1680.0,2554.0,1192.0,2021-11-11
1351.0,1998.0,945.0,2021-11-12
1373.0,2029.0,949.0,2021-11-13
1410.0,1396.0,0.0,2021-11-14
761.0,508.0,0.0,2021-11-15
761.0,735.0,0.0,2021-11-15
