truth,pred,pred_sir,fecha
7814.0,7974.598604124765,7884.143438387551,2021-01-11
7814.0,7694.6877204068405,8042.003319900571,2021-01-11
8698.0,11921.0,12697.0,2021-01-12
13761.0,9749.0,12409.0,2021-01-13
12559.0,10721.0,11869.0,2021-01-14
13176.0,9975.0,11042.0,2021-01-15
12333.0,7893.0,8103.0,2021-01-16
8926.0,5299.0,4516.0,2021-01-17
7243.0,7012.0,0.0,2021-01-18
8159.0,11532.0,9271.0,2021-01-19
12038.0,8890.0,8981.0,2021-01-20
11996.0,10347.0,8527.0,2021-01-21
11289.0,9039.0,7786.0,2021-01-22
10528.0,6028.0,4962.0,2021-01-23
8085.0,5302.0,1499.0,2021-01-24
4921.0,5743.0,0.0,2021-01-25
4921.0,6312.0,0.0,2021-01-25
