truth,pred,pred_sir,fecha
3001.0,2724.7779354766726,2709.2045179540196,2021-06-28
3001.0,3281.589928630896,3198.208125480723,2021-06-28
13315.0,5768.0,9393.0,2021-06-29
5297.0,8201.0,10370.0,2021-06-30
12787.0,9556.0,10631.0,2021-07-01
12484.0,19792.0,20000.0,2021-07-02
27148.0,2744.0,3365.0,2021-07-03
2782.0,2617.0,0.0,2021-07-04
2965.0,13015.0,20376.0,2021-07-05
8775.0,4127.0,5842.0,2021-07-06
20486.0,12528.0,6566.0,2021-07-07
17881.0,12062.0,6746.0,2021-07-08
18567.0,27066.0,16045.0,2021-07-09
44768.0,3349.0,0.0,2021-07-10
7632.0,3127.0,0.0,2021-07-11
10412.0,9009.0,16119.0,2021-07-12
10412.0,7191.0,16119.0,2021-07-12
