truth,pred,pred_sir,fecha
2494.0,2321.5537554958123,2400.285962422512,2021-10-18
2494.0,2373.269838565122,2622.108180924188,2021-10-18
1514.0,2289.0,2917.0,2021-10-19
3897.0,3018.0,3450.0,2021-10-20
5535.0,3605.0,3143.0,2021-10-21
5562.0,3599.0,2595.0,2021-10-22
5685.0,4152.0,2780.0,2021-10-23
6251.0,3698.0,1674.0,2021-10-24
4700.0,2701.0,5711.0,2021-10-25
2928.0,4836.0,1819.0,2021-10-26
6235.0,7360.0,2185.0,2021-10-27
8336.0,8517.0,1786.0,2021-10-28
8355.0,9353.0,1177.0,2021-10-29
9378.0,10551.0,1295.0,2021-10-30
9770.0,9860.0,192.0,2021-10-31
7118.0,4763.0,5881.0,2021-11-01
7118.0,5546.0,5881.0,2021-11-01
