truth,pred,pred_sir,fecha
11622.0,12088.352146282477,12416.516504673182,2021-01-25
11622.0,11776.966212415438,11568.077090316243,2021-01-25
8553.0,7222.0,5437.0,2021-01-26
10586.0,10283.0,8853.0,2021-01-27
15196.0,9362.0,9320.0,2021-01-28
14362.0,9305.0,9012.0,2021-01-29
13561.0,8985.0,8806.0,2021-01-30
12714.0,7400.0,7313.0,2021-01-31
11242.0,5031.0,0.0,2021-02-01
7924.0,8162.0,1310.0,2021-02-02
9631.0,11218.0,5007.0,2021-02-03
13163.0,8853.0,5767.0,2021-02-04
13649.0,9167.0,5724.0,2021-02-05
14201.0,8116.0,5785.0,2021-02-06
13434.0,7119.0,4527.0,2021-02-07
11639.0,7074.0,0.0,2021-02-08
11639.0,4246.0,0.0,2021-02-08
