truth,pred,pred_sir,fecha
5074.0,5184.693689913046,4754.109238544879,2021-11-01
5074.0,5334.565736878892,4646.765392263703,2021-11-01
3114.0,6012.0,5737.0,2021-11-02
3249.0,8438.0,6806.0,2021-11-03
8229.0,9559.0,5910.0,2021-11-04
8687.0,9939.0,5123.0,2021-11-05
8675.0,10889.0,4936.0,2021-11-06
8632.0,9840.0,3047.0,2021-11-07
6770.0,7569.0,5917.0,2021-11-08
4900.0,6812.0,3097.0,2021-11-09
8283.0,11564.0,3928.0,2021-11-10
9378.0,14398.0,2942.0,2021-11-11
9030.0,15931.0,2091.0,2021-11-12
9318.0,16734.0,1942.0,2021-11-13
9961.0,15405.0,137.0,2021-11-14
7779.0,12990.0,3148.0,2021-11-15
7779.0,20989.0,3148.0,2021-11-15
