truth,pred,pred_sir,fecha
359.0,331.1054169140478,356.05403596107254,2021-10-04
359.0,346.2435480317472,345.824753523569,2021-10-04
375.0,0.0,143.0,2021-10-05
465.0,173.0,138.0,2021-10-06
169.0,0.0,0.0,2021-10-07
592.0,428.0,379.0,2021-10-08
435.0,0.0,353.0,2021-10-09
403.0,359.0,299.0,2021-10-10
522.0,0.0,0.0,2021-10-11
553.0,465.0,72.0,2021-10-12
261.0,0.0,64.0,2021-10-13
0.0,592.0,0.0,2021-10-14
251.0,0.0,296.0,2021-10-15
298.0,403.0,270.0,2021-10-16
166.0,0.0,217.0,2021-10-17
560.0,553.0,340.0,2021-10-18
560.0,0.0,340.0,2021-10-18
