truth,pred,pred_sir,fecha
1671.0,1589.209401612155,1799.5406913975467,2021-08-23
1671.0,1572.8960616385186,1770.4333098020657,2021-08-23
1671.0,1773.9500895359147,1813.7102740884136,2021-08-23
1591.0,1474.0,1400.0,2021-08-24
1591.0,0.0,1400.0,2021-08-24
1550.0,1681.0,1298.0,2021-08-25
1550.0,0.0,1298.0,2021-08-25
2025.0,1786.0,1181.0,2021-08-26
2025.0,0.0,1181.0,2021-08-26
1831.0,2073.0,1397.0,2021-08-27
1831.0,0.0,1397.0,2021-08-27
1850.0,2095.0,1365.0,2021-08-28
1850.0,0.0,1365.0,2021-08-28
1966.0,1671.0,1290.0,2021-08-29
1966.0,0.0,1290.0,2021-08-29
1692.0,1591.0,0.0,2021-08-30
1692.0,0.0,0.0,2021-08-30
1290.0,1550.0,314.0,2021-08-31
1290.0,0.0,314.0,2021-08-31
1359.0,2025.0,1080.0,2021-09-01
1359.0,0.0,1080.0,2021-09-01
1764.0,1831.0,439.0,2021-09-02
1764.0,0.0,439.0,2021-09-02
0.0,1850.0,1281.0,2021-09-03
0.0,0.0,1281.0,2021-09-03
1384.0,1966.0,1239.0,2021-09-04
1384.0,0.0,1239.0,2021-09-04
1673.0,1692.0,772.0,2021-09-05
1673.0,0.0,772.0,2021-09-05
1163.0,1290.0,0.0,2021-09-06
1163.0,0.0,0.0,2021-09-06
1163.0,1290.0,0.0,2021-09-06
