truth,pred,pred_sir,fecha
624.0,672.2580659617621,665.2974179626415,2021-11-01
624.0,565.5443592639866,632.5386965497039,2021-11-01
1325.0,0.0,911.0,2021-11-02
1616.0,1163.0,927.0,2021-11-03
1502.0,0.0,688.0,2021-11-04
1533.0,1112.0,790.0,2021-11-05
1487.0,0.0,417.0,2021-11-06
1051.0,624.0,255.0,2021-11-07
990.0,0.0,0.0,2021-11-08
1525.0,1616.0,497.0,2021-11-09
2116.0,0.0,515.0,2021-11-10
1771.0,1533.0,295.0,2021-11-11
1998.0,0.0,415.0,2021-11-12
1755.0,1051.0,69.0,2021-11-13
1304.0,0.0,0.0,2021-11-14
1148.0,1525.0,0.0,2021-11-15
1148.0,0.0,0.0,2021-11-15
