truth,pred,pred_sir,fecha
4828.0,4795.46968227005,4581.217351636748,2021-07-26
4828.0,4498.701029968114,4451.778236308253,2021-07-26
11156.0,0.0,12740.0,2021-07-27
13533.0,12185.0,11893.0,2021-07-28
12631.0,0.0,10017.0,2021-07-29
10821.0,12223.0,10923.0,2021-07-30
10339.0,0.0,7083.0,2021-07-31
7181.0,4828.0,2985.0,2021-08-01
4068.0,0.0,0.0,2021-08-02
10043.0,13533.0,10504.0,2021-08-03
11882.0,0.0,9454.0,2021-08-04
11690.0,10821.0,7513.0,2021-08-05
10954.0,0.0,8299.0,2021-08-06
10687.0,7181.0,4430.0,2021-08-07
6984.0,0.0,280.0,2021-08-08
4513.0,10043.0,0.0,2021-08-09
4513.0,0.0,0.0,2021-08-09
