truth,pred,pred_sir,fecha
108.0,102.98855554209548,98.53680604700655,2021-06-14
108.0,114.94015511827907,105.40079517326427,2021-06-14
71.0,6.0,183.0,2021-06-15
108.0,214.0,189.0,2021-06-16
117.0,0.0,157.0,2021-06-17
57.0,178.0,119.0,2021-06-18
37.0,0.0,154.0,2021-06-19
34.0,108.0,46.0,2021-06-20
20.0,0.0,0.0,2021-06-21
17.0,108.0,121.0,2021-06-22
47.0,0.0,128.0,2021-06-23
32.0,57.0,99.0,2021-06-24
42.0,0.0,63.0,2021-06-25
0.0,34.0,101.0,2021-06-26
22.0,0.0,0.0,2021-06-27
4.0,17.0,0.0,2021-06-28
4.0,0.0,0.0,2021-06-28
