truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-04-05
0.0,0.0,0.0,2021-04-05
0.0,1858.0,89.0,2021-04-06
0.0,0.0,89.0,2021-04-06
4862.0,2340.0,1728.0,2021-04-07
4862.0,0.0,1728.0,2021-04-07
2245.0,1904.0,516.0,2021-04-08
2245.0,0.0,516.0,2021-04-08
2386.0,2180.0,564.0,2021-04-09
2386.0,0.0,564.0,2021-04-09
2458.0,0.0,0.0,2021-04-10
2458.0,0.0,0.0,2021-04-10
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-12
0.0,0.0,0.0,2021-04-12
5519.0,4862.0,406.0,2021-04-13
2118.0,0.0,974.0,2021-04-14
2477.0,2386.0,602.0,2021-04-15
2102.0,0.0,934.0,2021-04-16
2022.0,0.0,0.0,2021-04-17
0.0,0.0,0.0,2021-04-18
0.0,0.0,0.0,2021-04-19
0.0,0.0,0.0,2021-04-19
4884.0,2118.0,0.0,2021-04-20
4884.0,0.0,0.0,2021-04-20
2139.0,2477.0,463.0,2021-04-21
2139.0,0.0,463.0,2021-04-21
2668.0,2102.0,189.0,2021-04-22
2668.0,0.0,189.0,2021-04-22
2221.0,2022.0,596.0,2021-04-23
2221.0,0.0,596.0,2021-04-23
2027.0,0.0,0.0,2021-04-24
2027.0,0.0,0.0,2021-04-24
0.0,0.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-25
0.0,4884.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
