truth,pred,pred_sir,fecha
919.0,958.8588094031987,899.8957733759806,2021-03-22
919.0,931.0244371195939,860.7868338961476,2021-03-22
4436.0,0.0,0.0,2021-03-23
4436.0,4293.0,0.0,2021-03-23
4777.0,0.0,0.0,2021-03-24
4777.0,4029.0,0.0,2021-03-24
4294.0,0.0,0.0,2021-03-25
4294.0,3952.0,0.0,2021-03-25
3926.0,0.0,1010.0,2021-03-26
3926.0,4012.0,1010.0,2021-03-26
3976.0,0.0,0.0,2021-03-27
3976.0,2414.0,0.0,2021-03-27
2447.0,0.0,0.0,2021-03-28
2447.0,919.0,0.0,2021-03-28
941.0,2619.0,0.0,2021-03-29
941.0,1759.0,0.0,2021-03-29
4474.0,2963.0,2252.0,2021-03-30
5136.0,1227.0,2046.0,2021-03-31
4171.0,2654.0,1730.0,2021-04-01
3646.0,1214.0,1866.0,2021-04-02
3972.0,1178.0,237.0,2021-04-03
1861.0,0.0,0.0,2021-04-04
701.0,651.2076558599415,699.3254905469835,2021-04-05
701.0,680.7569058465638,762.7485587244445,2021-04-05
3822.0,5136.0,1317.0,2021-04-06
3822.0,0.0,1317.0,2021-04-06
0.0,4171.0,2447.0,2021-04-07
0.0,0.0,2447.0,2021-04-07
7474.0,3646.0,974.0,2021-04-08
7474.0,0.0,974.0,2021-04-08
2833.0,3972.0,1190.0,2021-04-09
2833.0,0.0,1190.0,2021-04-09
2678.0,1861.0,0.0,2021-04-10
2678.0,0.0,0.0,2021-04-10
1234.0,701.0,0.0,2021-04-11
1234.0,0.0,0.0,2021-04-11
415.0,3822.0,0.0,2021-04-12
415.0,0.0,0.0,2021-04-12
