truth,pred,pred_sir,fecha
2.0,2.0994889225634554,2.02444837097191,2021-01-25
2.0,2.134618872247679,1.911220095320489,2021-01-25
10.0,9748.0,31244.0,2021-01-26
10.0,5826.0,31244.0,2021-01-26
9068.0,5107.0,0.0,2021-01-27
9068.0,2559.0,0.0,2021-01-27
4103.0,5101.0,11453.0,2021-01-28
4103.0,2820.0,11453.0,2021-01-28
4001.0,2993.0,2747.0,2021-01-29
4001.0,4378.0,2747.0,2021-01-29
2307.0,348.0,0.0,2021-01-30
2307.0,0.0,0.0,2021-01-30
0.0,2.0,0.0,2021-01-31
0.0,1.0,0.0,2021-01-31
0.0,10.0,0.0,2021-02-01
0.0,6.0,0.0,2021-02-01
2.0,9065.0,6609.0,2021-02-02
9557.0,506.0,1725.0,2021-02-03
4174.0,3801.0,2194.0,2021-02-04
3601.0,805.0,1666.0,2021-02-05
3194.0,0.0,0.0,2021-02-06
0.0,0.0,0.0,2021-02-07
0.0,0.0,0.0,2021-02-08
0.0,0.0,0.0,2021-02-08
7.0,9557.0,5612.0,2021-02-09
7.0,3424.0,5612.0,2021-02-09
7981.0,2845.0,809.0,2021-02-10
7981.0,2349.0,809.0,2021-02-10
3895.0,2592.0,1351.0,2021-02-11
3895.0,1730.0,1351.0,2021-02-11
4152.0,2380.0,891.0,2021-02-12
4152.0,1480.0,891.0,2021-02-12
3637.0,0.0,0.0,2021-02-13
3637.0,0.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-14
0.0,0.0,0.0,2021-02-14
0.0,7.0,0.0,2021-02-15
0.0,2.0,0.0,2021-02-15
