truth,pred,pred_sir,fecha
6502.0,6705.95258637636,5990.286506027887,2021-02-08
6502.0,6698.248570616302,6927.638121399715,2021-02-08
3595.0,2894.0,418.0,2021-02-09
3595.0,1950.0,418.0,2021-02-09
4977.0,4327.0,226.0,2021-02-10
4977.0,1635.0,226.0,2021-02-10
5979.0,2760.0,101.0,2021-02-11
5979.0,1211.0,101.0,2021-02-11
5119.0,4073.0,757.0,2021-02-12
5119.0,959.0,757.0,2021-02-12
4531.0,3768.0,2716.0,2021-02-13
4531.0,1899.0,2716.0,2021-02-13
5384.0,5087.0,4523.0,2021-02-14
5384.0,1485.0,4523.0,2021-02-14
6138.0,2489.0,0.0,2021-02-15
6138.0,1148.0,0.0,2021-02-15
3280.0,3851.0,0.0,2021-02-16
4600.0,2200.0,1557.0,2021-02-17
5701.0,2893.0,73.0,2021-02-18
5155.0,1606.0,1357.0,2021-02-19
4776.0,3761.0,1439.0,2021-02-20
6072.0,2336.0,3451.0,2021-02-21
7134.0,7397.24252618054,7016.050927094912,2021-02-22
7134.0,6967.159081825586,6981.507062040771,2021-02-22
3510.0,2556.0,0.0,2021-02-23
3510.0,1155.0,0.0,2021-02-23
5381.0,4545.0,534.0,2021-02-24
5381.0,0.0,534.0,2021-02-24
6332.0,5155.0,1602.0,2021-02-25
6332.0,0.0,1602.0,2021-02-25
5216.0,4776.0,470.0,2021-02-26
5216.0,0.0,470.0,2021-02-26
4802.0,6072.0,662.0,2021-02-27
4802.0,0.0,662.0,2021-02-27
5924.0,7134.0,2772.0,2021-02-28
5924.0,0.0,2772.0,2021-02-28
6870.0,3510.0,0.0,2021-03-01
6870.0,0.0,0.0,2021-03-01
